,sentence
15345," Pray give us a small squadron, and we will seize some of the enemy's flags and drums for you that we may prove ourselves adepts on the water."
15346,"  The speakers were two men who had served under Yuan Shao, named Jiao Chu and Zhang Nan."
15347,"    I do not think naval work would suit you two, born and brought up in the north,	said Cao Cao."
15348,	The southern soldiers are thoroughly accustomed to ships.
15349, You should not regard your lives as a child's plaything.
15350,"  They cried,	If we fail, treat us according to army laws!"
15351,"	The fighting ships are all chained together, there are only small, twenty−men boats free."
15352, They are unsuitable for fighting.
15353,"    If we took large ships, where would be the wonderful in what we will do?"
15354," No; give us a score of the small ships, and we will take half each and go straight to the enemy's naval port."
15355," We will just seize a flag, slay a leader, and come home."
15356,"    I will let you have the twenty ships and five hundred of good, vigorous troops with long spears and stiff crossbows."
15357," Early tomorrow the main fleet shall make a demonstration on the river, and I will also tell Wen Ping to support you with thirty ships."
15358,  The two men retired greatly elated.
15359," Next morning, very early, food was prepared, and at the fifth watch all was ready for a start."
15360," Then from the naval camp rolled out the drums and the gongs clanged, as the ships moved out and took up their positions, the various flags fluttering in the morning breeze."
15361, And the two intrepid leaders with their squadron of small scouting boats went down the lines and out into the stream.
15362,"  Now a few days before the sound of Cao Cao's drums had been heard on the southern bank, Zhou Yu had watched the maneuvers of the northern fleet on the open river from the top of a hill till the fleet had gone in again."
15363," So when the sound of drums was again heard, all the southern army went up the hills to watch the northern fleet."
15364, All they saw was a squadron of small ships bounding over the waves.
15365,"  As the northern fleet came nearer, the news was taken to Zhou Yu who called for volunteers to go out against them."
15366, Han Dang and Zhou Tai offered themselves.
15367, They were accepted and orders were issued to the camps to remain ready for action but not to move till told.
15368,  Han Dang and Zhou Tai sailed out each with a small squadron of five ships in line.
15369,"  The two braggarts from the north, Jiao Chu and Zhang Nan, really only trusted to their boldness and luck."
15370," Their ships came down under the powerful strokes of the oars; and as they neared, the two leaders put on their heart−protectors, gripped their spears, and each took his station in the prow of the leading ship of his division."
15371," Jiao Chu's ship led and as soon as he came near enough, his troops began to shoot at Han Dang, who fended  off the arrows with his buckler; Jiao Chu twirled his long spear as he engaged his opponent."
15372," But, at the first thrust, he was killed."
15373,  His comrade Zhang Nan with the other ships was coming up with great shouts when Zhou Tai sailed up at an angle and these two squadrons began shooting arrows at each other in clouds.
15374," Zhou Tai fended off the arrows with his shield and stood gripping his sword firmly till his ships came within a few spans of the enemy's ships, when he leaped across and cut down Zhang Nan."
15375, Zhang Nan's dead body fell into the water.
15376," Then the battle became confused, and the attacking ships rowed hard to get away."
15377, The southerners pursued but soon came in sight of Wen Ping's supporting fleet.
15378, Once more the ships engaged and the forces fought with each other.
15379,  Zhou Yu with his officers stood on the summit of a mountain and watched his own and the enemy ships out on the river.
15380, The flags and the ensigns were all in perfect order.
15381," Then he saw Wen Ping and his own fleets engaged in battle, and soon it was evident that the former was not a match for his own sailors."
15382," Wen Ping turned about to retire, Han Dang and Zhou Tai pursued."
15383," Zhou Yu fearing lest his sailors should go too far, then hoisted the white flag of recall."
15384,"  To his officers Zhou Yu said,	The masts of the northern ships stand thick as reeds; Cao Cao himself is full of wiles; how can we destroy him?"
15385,"	No one replied, for just then the great yellow flag that flapped in the breeze in the middle of Cao Cao's fleet suddenly fell over into the river."
15386,  Zhou Yu laughed.
15387,"  That is a bad omen,	said he."
15388,"  Then an extra violent blast of wind came by, and the waves rose high and beat upon the bank."
15389," A corner of his own flag flicked Zhou Yu on the cheek, and suddenly a thought flashed through his mind."
15390," Zhou Yu uttered a loud cry, staggered, and fell backward."
15391," They picked him up; there was blood upon his lips, and he was unconscious."
15392," Presently, however, he revived."
15393,"  And once he laughed, then gave a cry, This is hard to ensure a victory."
15394, Zhou Yu's fate will appear as the story unfolds.
15395,  CHAPTER 49.
15396," On The Seven Stars Altar, Zhuge Liang Sacrifices To The Winds; At Three Gorges, Zhou Yu Liberates The Fire."
15397, In the last chapter Zhou Yu was seized with sudden illness as he watched the fleets of his enemy.
15398," He was borne to his tent, and his officers came in multitudes to inquire after him."
15399," They looked at each other, saying,   What a pity our general should be taken ill when Cao Cao's legions threaten so terribly!"
15400, What would happen if Cao Cao attacked?
15401,"  Messengers with the evil tidings were sent to Sun Quan, while the physicians did their best for the invalid."
15402, Lu Su was particularly sad at the illness of his patron and went to see Zhuge Liang to talk it over.
15403,  What do you make of it?
15404,	said Zhuge Liang.
15405," Good luck for Cao Cao; bad for us,	said Lu Su."
15406,"  I could cure him,	said Zhuge Liang laughing."
15407,"  If you could, Wu would be very fortunate,	said Lu Su."
15408,  Lu Su prayed Zhuge Liang to go to see the sick man.
15409," They went, and Lu Su entered first."
15410," Zhou Yu lay in bed, his head covered by a quilt."
15411,"  How are you, General?"
15412,	said Lu Su.
15413,  My heart pains me; every now and again I feel faint and dizzy.
15414, Have you taken any remedies?
15415, My gorge rises at the thought; I could not.
15416,"    I saw Zhuge Liang just now, and he says he could heal you."
15417," He is just outside, and I will call him if you like."
15418,  Ask him to come in.
15419,"  Zhou Yu bade his servants help him to a sitting position, and Zhuge Liang entered."
15420,"  I have not seen you for days,	said Zhuge Liang."
15421,	How could I guess that you were unwell?
15422, How can any one feel secure?
15423," We are constantly the playthings of luck, good or bad."
15424,   Yes; Heaven's winds and clouds are not to be measured.
15425," No one can reckon their comings and goings, can they?"
15426,"  Zhou Yu turned pale and a low groan escaped him, while his visitor went on,	You feel depressed, do you not?"
15427, As though troubles were piling up in your heart?
15428,  That is exactly how I feel.
15429,  You need cooling medicine to dissipate this sense of oppression.
15430," I have taken a cooling draught, but it has done no good."
15431, You must get the humors into good order before the drugs will have any effect.
15432,  Zhou Yu began to think Zhuge Liang knew what was really the matter and resolved to test him.
15433, What should be taken to produce a favorable temper?
15434,	said Zhou Yu.
15435," I know one means of producing a favorable temper,	replied Zhuge Liang."
15436, I wish you would tell me.
15437," Zhuge Liang got out writing materials, sent away the servants, and then wrote a few words: To burn out the fleet  Of Cao Cao;  All are in your wish, Except winds from the east."
15438," This he gave to the sick general, saying,	That is the origin of your illness."
15439,"  Zhou Yu read the words with great surprise, and it confirmed his secret opinion that Zhuge Liang really was rather more than human."
15440, He decided that the only course was to be open and tell him all.
15441,"  So he said,	Since you know the cause of the disease, what do you recommend as treatment?"
15442, The need of a remedy is very urgent.
15443,"    I have no great talent,	said Zhuge Liang,	but I have had to do with humans of no ordinary gifts from whom I have received certain magical books called Concealing Method."
15444, I can call the winds and summon the rains.
15445," Since you need a southeast breeze, General, you must build an altar on the Nanping Mountains, the Altar of the Seven Stars."
15446," It must be nine spans high, with three steps, surrounded by a guard of one hundred and twenty humans bearing flags."
15447, On this altar I will work a spell to procure a strong southeast gale for three days and three nights.
15448, Do you approve?
15449,"    Never mind three whole days;	said Zhou Yu,	one day of strong wind will serve my purpose."
15450, But it must be done at once and without delay.
15451,  I will sacrifice for a wind for three days from the twentieth day of the moon; will that suit you?
15452,  Zhou Yu was delighted and hastily rose from his couch to give the necessary orders.
15453," He commanded that five hundred men should be sent to the mountains to build the altar, and he told off the guard of one hundred and twenty to bear the flags and be at the orders of Zhuge Liang."
15454,"  Zhuge Liang took his leave, went forth, and rode off with Lu Su to the mountains where they measured out the ground."
15455, He bade the soldiers build the altar of red earth from the southeast quarter.
15456," It was two hundred and forty spans in circuit, square in shape, and of three tiers, each of three spans, in all nine spans high."
15457," On the lowest tier he placed the flags of the twenty−eight	houses	of the heavens and four constellations; on the east seven, with blue flags; on the north seven, with black flags; on the west seven, with white flags; and on the south seven, with red flags."
15458," Around the second tier he placed sixty−four yellow flags, corresponding to the number of the diagrams of the Book of Divination, in eight groups of eight."
15459," Four men were stationed on the highest platform, each wearing a Taoist headdress and a black silk robe embroidered with the phoenix and confined with wide sashes."
15460, They wore scarlet boots and square−cut skirts.
15461, On the left front stood a man supporting a tall pole bearing at its top a plume of light feathers to show by their least movement the wind's first breathing.
15462, On the right front was a man holding a tall pole whereon was a flag with the symbol of the seven stars to show the direction and force of the wind.
15463," On the left rear stood a man with a sword, and on the right rear a man with a censer."
15464," Below the altar were forty−four men holding flags, umbrellas, spears, lances, yellow banners, white axes, red banderoles, and black ensigns."
15465, And these were spaced about the altar.
15466,"  On the appointed day Zhuge Liang, having chosen a propitious moment, bathed his body and purified himself."
15467," Then he robed himself as a Taoist, loosened his locks, and approached the altar."
15468,"  He bade Lu Su retire, saying,	Return to the camp and assist the General in setting out his forces."
15469," Should my prayers avail not, do not wonder."
15470,  So Lu Su left him.
15471," Then Zhuge Liang commanded the guards on no account to absent themselves, to maintain strict silence, and to be reverent; death would be the penalty of disobedience."
15472,"  Next, with solemn steps he ascended the altar, faced the proper quarter, lighted the incense, and sprinkled the water in the basins."
15473, This done he gazed into the heavens and prayed silently.
15474, The prayer ended he descended and returned to his tent.
15475, After a brief rest he allowed the soldiers by turns to go away to eat.
15476,  Thrice that day he ascended the altar and thrice descended; but there was no sign of the wind.
15477,"  During that time, Zhou Yu, with Cheng Pu and Lu Su and other military officials on duty, sat waiting in the tent till the wished−for wind should blow and the attack could be launched."
15478, Messengers were also sent to Sun Quan to prepare to support the forward movement.
15479,"  Huang Gai had his fire ships ready, twenty of them."
15480," The fore parts of the ships were thickly studded with large nails, and they were loaded with dry reeds, wood soaked in fish oil, and covered with sulfur, saltpeter, and other inflammables."
15481, The ships were covered in with black oiled cloth.
15482, In the prow of each was a black dragon flag with indentations.
15483, A fighting ship was attached to the stern of each to propel it forward.
15484, All were ready and awaited orders to move.
15485,"  Meanwhile Cao Cao's two spies, Cai He and Cai Zhong, were being guarded carefully in an outer camp far from the river bank and daily entertained with feasting."
15486, They were not allowed to know of the preparations.
15487, The watch was so close that not a trickle of information reached the prisoners.
15488,"  Presently, while Zhou Yu was anxiously awaiting in his tent for the desired wind, a messenger came to say that Sun Quan had anchored at a place thirty miles from the camp, where he awaited news from the Commander−in−Chief."
15489,"  Lu Su was sent to warn all the various commanders to be ready, the ships and their weapons, sails and oars, all for instant use, and to impress upon them the penalties of being caught unprepared."
15490, The soldiers were indeed ready for the fight and yearning for the fray.
15491," But the sky remained obstinately clear, and as night drew nigh no breath of air stirred."
15492,"  We have been cajoled,	said Zhou Yu."
15493,	Indeed what possibility is there of a southeast wind in midwinter?
15494," Zhuge Liang would not use vain and deceitful words,	replied Lu Su."
15495," Towards the third watch, the sound of a movement arose in the air."
15496, Soon the flags fluttered out.
15497," And when the Commander−in−Chief went out to make sure, he saw they were flowing toward the northwest."
15498, In a very short time the southeast wind was in full force.
15499,"  Zhou Yu was, however, frightened at the power of the man whose help he had invoked."
15500,"  He said,	Really the man has power over the heavens and authority over the earth; his methods are incalculable, beyond the ken of god or devil."
15501, He cannot be allowed to live to be a danger to our land of the south.
15502, We must slay him soon to fend off later evils.
15503,  So Zhou Yu resolved to commit a crime to remove his dangerous rival.
15504," He called two of the generals of his guard, Ding Feng and Xu Sheng, and said to them,	Each of you take a party of one hundred troops, one along the river, the other along the road, to the altar on the mountains."
15505," As soon as you get there, without asking questions or giving reasons, you are to seize and behead Zhuge Liang."
15506, Rich reward will be given when you bring his head back.
15507,"  Xu Sheng and Ding Feng went off on their errand, the former leading dagger and ax−men going as fast as oars could propel them along the river, the latter at the head of archers and bowmen on horseback."
15508, The southeast wind buffeted them as they went on their way.
15509,"  High was raised the Seven Stars Altar, On it prayed the Sleeping−Dragon For an eastern wind, and straightway Blew the wind."
15510, Had not the wizard Exercised his mighty magic Nought had Zhou Yu's skill availed.
15511,  Ding Feng first arrived.
15512," He saw the guards with their flags, dropped off his steed, and marched to the altar, sword in hand."
15513, But he found no Zhuge Liang.
15514," He asked the guards; they told him, saying,	He has just gone down."
15515,  Ding Feng ran down the hill to search.
15516," There he met his fellow Xu Sheng, and they joined forces."
15517," Presently a simple soldier told them, saying, The evening before a small, fast boat anchored there near a sand spit, and Zhuge Liang was seen to go on board."
15518, Then the boat went up river.
15519,"  So Xu Sheng and Ding Feng divided their party into two, one to go by water, the other by land."
15520,  Xu Sheng bade his boatmen put on all sail and take every advantage of the wind.
15521," Before very long he saw the fugitive's boat ahead, and when near enough, stood in the prow of his own and shouted,	Do not flee, O Instructor of the Army!"
15522, The General requests your presence.
15523,"  Zhuge Liang, who was seated in the stern of his boat, just laughed aloud, saying,	Return and tell the General to make good use of his soldiers."
15524, Tell him I am going up river for a spell and will see him again another day.
15525," Pray wait a little while,	cried Xu Sheng."
15526,	I have something most important to tell you.
15527,"    I knew all about it, that Zhou Yu would not let me go and that he wanted to kill me."
15528, That is why Zhao Yun was waiting for me.
15529, You would better not approach nearer.
15530,"  Seeing the other ship had no sail, Xu Sheng thought he would assuredly come up with it and so maintained the pursuit."
15531,"  Then when he got too close, Zhao Yun fitted an arrow to the bowstring and, standing up in the stern of his boat, cried,	You know who I am, and I came expressly to escort the Directing Instructor."
15532, Why are you pursuing him?
15533," One arrow would kill you, only that would cause a breach of the peace between two houses."
15534, I will shoot and just give you a specimen of my skill.
15535,"  With that he shot, and the arrow whizzed overhead cutting the rope that held up the sail."
15536, Down came the sail trailing in the water and the boat swung round.
15537," Then Zhao Yun's boat hoisted its sail, and the fair wind speedily carried it out of sight."
15538,  On the bank stood Ding Feng.
15539," He bade his comrade come to the shore and said,	Zhuge Liang is too clever for any one; and Zhao Yun is bravest of the brave."
15540," You remember what he did at Dangyang, at the Long Slope  Bridge."
15541, All we can do is to return and report.
15542,  So they returned to camp and told their master about the preparations that Zhuge Liang had made to ensure safety.
15543, Zhou Yu was indeed puzzled at the depth of his rival's insight.
15544,"  I shall have no peace day or night while he lives,	said Zhou Yu."
15545," At least wait till Cao Cao is done with,	said Lu Su."
15546, And Zhou Yu knew Lu Su spoke wisely.
15547,"  Having summoned the leaders to receive orders, first Zhou Yu gave orders to Gan Ning:	Take with you the false deserter Cai Zhong and his soldiers, and go along the south bank, showing the flags of Cao Cao, till you reach the Black Forest just opposite the enemy's main store of grain and forage."
15548, Then you are to penetrate as deeply as possible into the enemy's lines and light a torch as a signal.
15549, Cai He is to be kept in camp for another purpose.
15550,  The next order was:	Taishi Ci is to lead two thousand troops as quickly as possible to Huangzhou and cut the enemy's communications with Hefei.
15551," When near the enemy, he is to give a signal; and if he sees a red flag, he will know that our lord, Sun Quan, is at hand with reinforcements."
15552,  Gan Ning and Taishi Ci had the farthest to go and started first.
15553, Then Lu Meng was sent into the Black Forest with three thousand troops as a support to Gan Ning who was ordered to set fire to Cao Cao's depot.
15554,  A fourth party of three thousand troops was led by Ling Tong to the borders of Yiling and attack as soon as the signal from the forest was seen.
15555, A fifth party of three thousand under Dong Xi went to Hanyang to fall upon the enemy along the River Han.
15556, Their signal was a white flag; and a sixth division of three thousand commanded by Pan Zhang would support them.
15557,  When these six parties had gone off.
15558, Huang Gai got ready his fire ships and sent a soldier with a note to tell Cao Cao that he was coming over that evening.
15559, Four naval squadrons were told off to support Huang Gai.
15560," The four squadrons, each of three hundred ships, were placed under four commanders: Han Dang, Zhou Tai, Jiang Qin, and Chen Wu."
15561, Twenty fire ships preceded each fleet.
15562, Zhou Yu and Cheng Pu went on board one of the large ships to direct the battle.
15563, Their guards were Ding Feng and Xu Sheng.
15564," Lu Su, Kan Ze, and the advisers were left to guard the camp."
15565, Cheng Pu was greatly impressed with Zhou Yu's ordering of the grand attack.
15566,  Then came a messenger bearing a mandate from Sun Quan making Lu Xun Leader of the Van.
15567, He was ordered to go to Qichun.
15568, Sun Quan himself would support Lu Xun.
15569, Zhou Yu also sent a unit to the Western Hills to make signals and to hoist flags on the Nanping Mountains.
15570,  So all being prepared they waited for dusk.
15571,  Liu Bei was at Xiakou anxiously awaiting the return of his adviser.
15572," Then appeared a fleet, led by Liu Qi, who had come to find out how matters were progressing."
15573," Liu Bei sent to call him to the battle tower and said,	The southeast wind had begun to blow, and that Zhao Yun had gone to meet Zhuge Liang."
15574,"  Not long after a single sail was seen coming up before the wind, and Liu Bei knew it was Zhuge Liang, the Directing Instructor of the Army."
15575,  So Liu Bei and Liu Qi went down to meet the boat.
15576," Soon the vessel reached the shore, and Zhuge Liang and Zhao Yun disembarked."
15577,"  Liu Bei was very glad, and after they had inquired after each other's well−being, Zhuge Liang said,	There is no time to tell of any other things now."
15578, Are the soldiers and ships ready?
15579,"   They have long been ready,	replied Liu Bei."
15580,	They only await you to direct how they are to be used.
15581, The three then went to the tent and took their seats.
15582," Zhuge Liang at once began to issue orders:	Zhao Yun, with three thousand troops is to cross the river and go to the Black Forest by the minor road."
15583, He will choose a dense jungle and prepare an ambush.
15584," Tonight, after the fourth watch, Cao Cao will hurry along that way."
15585," When half his troops have passed, the jungle is to be fired."
15586, Cao Cao will not be wholly destroyed but many will perish.
15587,"    There are two roads,	said Zhao Yun."
15588,	One leads to the southern regions and the other to Jingzhou.
15589, I do not know by which he will come.
15590,"    The south road is too dangerous; Cao Cao will certainly pass along the Jingzhou road, so that he may get away to Xuchang."
15591,  Then Zhao Yun went away.
15592," Next Zhuge Liang said to Zhang Fei,	You will take three thousand troops over the river to cut the road to Yiling."
15593, You will ambush in the Hulu Valley.
15594," Cao Cao, not daring to go to South Yiling, will go to North Yiling."
15595," Tomorrow, after the rain, he will halt to refresh his troops."
15596," As soon as the smoke is seen to rise from their cooking fires, you will fire the hill side."
15597," You will not capture Cao Cao, but you will render excellent service."
15598,  So Zhang Fei left.
15599," Next was called Mi Zhu, Mi Fang, and Liu Feng."
15600, They were to take command of three squadrons and go along the river to collect beaten soldiers and their weapons.
15601,  The three left.
15602," Then Zhuge Liang said to Liu Qi,	The country around Wuchang is very important, and I wish you to take command of your own troops and station them at strategic points."
15603," Cao Cao, being defeated, will flee thither, and you will capture him."
15604, But you are not to leave the city without the best of reasons.
15605,	And Liu Qi took leave.
15606,"  Then Zhuge Liang said to Liu Bei,	I wish you to remain quietly and calmly in Fankou, in a high tower, to watch Zhou Yu work out his great scheme this night."
15607,"  All this time Guan Yu has been silently waiting his turn, but Zhuge Liang said no word to him."
15608,"  When Guan Yu could bear this no longer, he cried,	Since I first followed my brother to battle many years ago, I have never been left behind."
15609," Now that great things are afoot, is there no work for me?"
15610, What is meant by it?
15611,    You should not be surprised.
15612," I wanted you for service at a most important point, only that there was a something standing in the way that prevented me from sending you,	said Zhuge Liang."
15613,  What could stand in the way?
15614, I wish you would tell me.
15615,"    You see Cao Cao was once very kind to you, and you cannot help feeling grateful."
15616," Now when his soldiers have been beaten, he will have to flee along the Huarong Road; and if I sent you to guard it, you would have to let him pass."
15617, So I will not send you.
15618,"    You are most considerate, Instructor."
15619," But though it is true that he treated me well, yet I slew two of his most redoubtable opponents, Yan Liang and Wen Chou, by way of repayment, beside raising a siege."
15620," If I happened  upon him on this occasion, I should hardly let him go."
15621, But what if you did?
15622, You could deal with me by military rules.
15623, Then put that in writing.
15624, So Guan Yu wrote a formal undertaking and gave the document to Zhuge Liang.
15625, What happens if Cao Cao does not pass that way?
15626,	said Guan Yu.
15627,   I will give you a written engagement that he will pass.
15628," Then Zhuge Liang continued, On the hills by the Huarong Valley, you are to raise a heap of wood and grass to make a great column of smoke and mislead Cao Cao into coming."
15629,"  If Cao Cao sees a smoke, he will suspect an ambush and will not come."
15630,	said Guan Yu.
15631,"    You are very simple,	said Zhuge Liang."
15632,	Do you not know more of war's ruses than that?
15633," Cao Cao is an able leader, but you can deceive him this time."
15634," When he sees the smoke, he will take it as a subterfuge and risk going that way."
15635, But do not let your kindness of heart rule your conduct.
15636,"  Thus was his duty assigned Guan Yu, and he left, taking his adopted son Guan Ping, his general Zhou Cang, and five hundred swordsmen."
15637,"  Said Liu Bei,	His sense of rectitude is very profound; I fear if Cao Cao should come that way, my brother will let him pass."
15638,"    I have consulted the stars lately, and the rebel Cao Cao is not fated to come to his end yet."
15639, I have purposely designed this manifestation of kindly feeling for Guan Yu to accomplish and so act handsomely.
15640,"  Indeed there are few such far−seeing humans as you are,	said Liu Bei."
15641,  The two then went to Fankou whence they might watch Zhou Yu's evolutions.
15642, Sun Qian and Jian Yong were left on guard of Xiakou.
15643,  Cao Cao was in his great camp in conference with his advisers and awaiting the arrival of Huang Gai.
15644," The southeast wind was very strong that day, and Cheng Yu was insisting on the necessity for precaution."
15645," But Cao Cao laughed, saying,	The Winter Solstice depends upon the sun and nothing else; there is sure to be a southeast wind at some one or other of its recurrences."
15646, I see nothing to wonder at.
15647,  Just then they announced the arrival of a small boat from the other shore with a letter from Huang Gai.
15648, The bearer of the letter was brought in and presented it.
15649, Cao Cao read it:    Zhou Yu has kept such strict watch that there has been no chance of escape.
15650," But now some grain is coming down  river, and I, Huang Gai, have been named as escort commander which will give me the opportunity I desire."
15651, I will slay one of the known generals and bring his head as an offering when I come.
15652," This evening at the third watch, if boats are seen with dragon toothed flags, they will be the grain boats."
15653,"  This letter delighted Cao Cao who, with his officers, went to the naval camp and boarded a great ship to watch for the arrival of Huang Gai."
15654,"  In the South Land, when evening fell, Zhou Yu sent for Cai He and bade the soldiers bind him."
15655," The unhappy man protested, saying,	I have committed no crime."
15656,"  But Zhou Yu said,	What sort of a fellow are you, think you, to come and pretend to desert to my side?"
15657," I need a small sacrifice for my flag, and your head will serve my purpose."
15658, So I am going to use it.
15659,"  Cai He being at the end of his tether unable to deny the charge suddenly cried,	Two of your own side, Kan Ze and Gan Ning, are also in the plot!"
15660,"  Under my directions,	said Zhou Yu."
15661,"  Cai He was exceedingly repentant and sad, but Zhou Yu bade them take Cai He to the river bank where the black standard had been set up and there, after the pouring of a libation and the burning of paper, Cai He was beheaded, his blood being a sacrifice to the flag."
15662,"  This ceremony over, the ships started, and Huang Gai took his place on the third ship."
15663, He merely wore breast armor and carried a keen blade.
15664, On his flag were written four large characters	Van Leader Huang Gai .
15665, With a fair wind his fleet sailed toward the Red Cliffs.
15666,  The wind was strong and the waves ran high.
15667, Cao Cao in the midst of the central squadron eagerly scanned the river which rolled down under the bright moon like a silver serpent writhing in innumerable folds.
15668," Letting the wind blow full in his face, Cao Cao laughed aloud for he was now to obtain his desire."
15669,"  Then a soldier pointing to the river said,	The whole south is one mass of sails, and they are coming up on the wind."
15670,"  Cao Cao went to a higher point and gazed at the sails intently, and his officers told him that the flags were black and dragon shaped, and indented, and among them there flew one very large banner on which was a name Huang Gai."
15671,"  That is my friend, the deserter,	said he joyfully."
15672,	Heaven is on my side today.
15673,"  As the ships drew closer, Cheng Yu said,	Those ships are treacherous."
15674, Do not let them approach the camp.
15675, How know you that?
15676,	asked Cao Cao.
15677," And Cheng Yu replied,	If they were laden with grain, they would lie deep in the water."
15678, But these are light and float easily.
15679," The southeast wind is very strong, and if they intend treachery, how can we defend ourselves?"
15680,  Cao Cao began to understand.
15681," Then he asked who would go out to stop the approaching fleet, and Wen Ping volunteered, saying,	I am well used to the waters."
15682,"  Thereupon Wen Ping sprang into a small light craft and sailed out, followed by ten cruisers which came at his signal."
15683," Standing in the prow of his ship, Wen Ping called out to those advancing toward them, You southern ships are not to approach; such are the orders of the Prime Minister."
15684, Stop there in mid stream!
15685,  The soldiers all yelled to them to lower their sails.
15686," The shout had not died away when a bowstring twanged, and Wen Ping rolled down into the ship with an arrow in the left arm."
15687," Confusion reigned on his ship, and all the others hurried back to their camp."
15688,"  When the ships were about a mile of distant, Huang Gai waved his sword and the leading ships broke forth into fire, which, under the force of the strong wind, soon gained strength and the ships became as fiery arrows."
15689, Soon the whole twenty dashed into the naval camp.
15690,"  All Cao Cao's ships were gathered there, and as they were firmly chained together not one could escape from the others and flee."
15691, There was a roar of bombs and fireships came on from all sides at once.
15692, The face of the three rivers was speedily covered with fire which flew before the wind from one ship to another.
15693, It seemed as if the universe was filled with flame.
15694,  Cao Cao hastened toward the shore.
15695," Huang Gai, with a few troops at his back, leaped into a small boat, dashed through the fire, and sought Cao Cao."
15696," Cao Cao, seeing the imminence of the danger, was making for the land; Zhang Liao got hold of a small boat into which he helped his master; none too soon, for the ship was burning."
15697, They got Cao Cao out of the thick of the fire and dashed for the bank.
15698,"  Huang Gai, seeing a handsomely robed person get into a small boat, guessed it must be Cao Cao and pursued."
15699," He drew very near and he held his keen blade ready to strike, crying out,	You rebel!"
15700, Do not flee.
15701, I am Huang Gai.
15702,  Cao Cao howled in the bitterness of his distress.
15703," Zhang Liao fitted an arrow to his bow and aimed at the pursuer, shooting at short range."
15704," The roaring of the gale and the flames kept Huang Gai from hearing the twang of the string, and he was wounded in the shoulder."
15705, He fell and rolled over into the water.
15706,"  He fell in peril of water When flames were high; Ere cudgel bruises had faded,  An arrow struck."
15707, Huang Gai's fate will be told in the next chapter.
15708,  CHAPTER 50.
15709, Zhuge Liang Foresees The Huarong Valley Episode; Guan Yu Lifts His Saber To Release Cao Cao.
15710," The last chapter closed with Huang Gai in the water wounded, Cao Cao rescued from immediate danger, and confusion rampant among the soldiers."
15711," Pressing forward to attack the naval camp, Han Dang was told by his soldiers that some one was clinging to the rudder of his boat and shouting to him by his familiar name."
15712, Han Dang listened carefully and in the voice at once he recognized that Huang Gai was calling to him for help.
15713,  That is my friend Huang Gai!
15714,"	cried he, and they quickly pulled the wounded leader out of the water."
15715,  Then they saw Huang Gai was wounded for the arrow still stuck.
15716, Han Dang bit out the shaft of the arrow but the point was deeply buried in the flesh.
15717," They hastily pulled off his wet garments and cut out the metal arrowhead with a dagger, tore up one of the flags, and bound up the wound."
15718, Then Han Dang gave Huang Gai his own fighting robe to put on and sent him off in a small boat back to camp.
15719,"  Huang Gai's escape from drowning must be taken as proof of his natural affinity for, or sympathy with, water."
15720," Although it was the period of great cold and he was heavy with armor when he fell into the river, yet he escaped with life."
15721,"  In this great battle at the junction of the three rivers, the Three Gorges, when fire seemed to spread wide over all the wide surface of the water, when the earth quaked with the roar of battle, when land forces closed in on both wings and four battle squadrons advanced on the front, when the ferocity of fire answered the clash of weapons and weapons were aided by fire, under the thrusts of spears and the flights of arrows, burnt by fire and drowned by water, Cao Cao lost an incalculable number of troops."
15722," And a poet wrote:  When Wei and Wu together strove For the mastery, In the Red Cliffs fight the towering ships Vanished from the sea, For there the fierce flames, leaping high."
15723, Burned them utterly.
15724, So Zhou Yu for his liege lord Got the victory.
15725," And another poem runs:  The hills are high, the moon shines faint."
15726," The waters stretch afar; I sigh to think how oft this land Has suffered stress of war; And I recall how southerners Shrank from the northern army's might, And how a favoring eastern gale Helped them to win the fight."
15727," While fire was consuming the naval base of Cao Cao, Gan Ning made Cai Zhong guide him into the innermost recesses of Cao Cao's camp."
15728, Then Gan Ning slew Cai Zhong with one slash of his sword.
15729," After this Gan Ning set fire to the jungle; and at this signal, Lu Meng put fire to the grass in ten places near to each other."
15730," Then other fires were started, and the noise of battle was on all sides."
15731,"  Cao Cao and Zhang Liao, with a small party of horsemen, fled through the burning forest."
15732, They could see no road in front; all seemed on fire.
15733," Presently Mao Jie and Wen Ping, with a few more horsemen, joined them."
15734,  Cao Cao bade the soldiers seek a way through.
15735,"  Zhang Liao pointed out, saying,	The only suitable road is through the Black Forest."
15736, And they took it.
15737," They had gone but a short distance when they were overtaken by a small party of the enemy, and a voice cried,	Cao Cao, stop!"
15738,"  It was Lu Meng, whose ensign soon appeared against the fiery background."
15739," Cao Cao urged his small party of fugitives forward, bidding Zhang Liao defend him from Lu Meng."
15740,"  Soon after Cao Cao saw the light of torches in front, and from a gorge there rushed out another force."
15741," And the leader cried,	Ling Tong is here!"
15742,  Cao Cao was scared; his liver and gall both seemed torn from within.
15743," But just then on his half right, he saw another company approach and heard a cry,	Fear not, O Prime Minister, I am here to rescue you!"
15744,"  The speaker was Xu Huang, and he attacked the pursuers and held them off."
15745,"  A move to the north seemed to promise escape, but soon they saw a camp on a hill top."
15746," Xu Huang went ahead to reconnoiter and found the officers in command were Cao Cao's Generals Ma Yan and Zhang Yi, who had once been in the service of Yuan Shao."
15747, They had three thousand of northern soldiers in camp.
15748," They had seen the sky redden with the flames, but knew not what was afoot so dared make no move."
